Garage_Cars,Gr_Liv_Area,Total_Bsmt_SF,Exter_Qual_Typical,First_Flr_SF,Year_Built,Second_Flr_SF,Fireplace_Qu_No_Fireplace,Wood_Deck_SF,Central_Air_Y
3,2002,1001,1,1001,1949,1001,1,0,0
1,1473,1437,1,1473,1968,0,0,0,1
2,1525,813,1,813,1997,712,0,421,1
2,1191,1191,0,1191,1989,0,0,112,1
2,1414,1375,0,1414,2004,0,0,144,1
1,2210,1008,1,1178,1880,1032,1,0,1
2,1125,1125,1,1125,2006,0,1,80,1
2,1646,1594,0,1646,2004,0,0,128,1
2,2515,2035,0,2515,1957,0,0,0,1
3,1200,1200,1,1200,1964,0,1,0,1
1,912,912,1,912,1967,0,0,0,1
2,1873,608,1,983,1935,890,0,0,1
1,1152,1092,1,1152,1950,0,0,0,1
3,2400,1082,0,1105,2003,1295,0,114,1
2,1573,1078,1,1128,1930,445,0,0,1
0,1355,644,1,808,1940,547,1,140,1
2,1362,1362,1,1362,1961,0,0,0,1
2,1155,1109,1,1155,1961,0,1,192,1
2,1504,1504,0,1504,2006,0,1,144,1
1,1092,1092,1,1092,1962,0,0,0,1
2,990,990,1,990,1994,0,1,0,1
1,1113,1113,0,1113,1950,0,0,0,1
2,1246,1146,0,1246,2007,0,0,100,1
2,2098,1040,0,1044,1997,1054,0,331,1
2,2393,970,0,1469,1998,924,0,0,1
0,2650,0,1,862,1967,1788,1,0,1
0,1440,1440,1,1440,1955,0,1,0,0
3,1734,1734,0,1734,2007,0,0,0,1
1,987,483,1,483,1972,504,1,411,1
2,1456,855,0,855,1978,601,0,147,1
2,1220,1220,0,1220,2005,0,0,100,1
3,1776,1584,1,1776,1958,0,1,0,1
2,1479,1453,0,1479,2003,0,1,144,1
1,1092,546,1,546,1970,546,1,0,1
2,1556,716,1,716,1980,840,0,161,1
2,1496,654,0,664,2006,832,0,100,1
1,1221,784,1,949,1924,272,1,0,1
1,792,792,1,792,1958,0,1,0,1
0,3086,1598,1,1636,1946,971,0,122,1
1,1024,1008,1,1024,1956,0,0,0,1
2,1092,1092,1,1092,1964,0,1,0,1
3,1720,1720,0,1720,2008,0,0,208,1
2,2704,1952,0,2000,1972,704,0,269,1
0,693,693,1,693,1941,0,1,0,0
2,1728,1728,1,1728,1976,0,1,40,1
1,1450,624,1,730,1920,720,1,0,1
0,840,672,1,840,1930,0,0,0,1
1,1096,1008,1,1096,1975,0,0,0,1
1,872,872,1,872,1924,0,0,0,0
3,1959,1907,1,1959,1988,0,1,0,1
1,1304,264,1,616,1976,688,0,141,1
2,1511,802,1,802,1997,709,0,95,1
2,864,864,1,864,1951,0,1,0,1
1,960,960,1,960,1955,0,1,0,1
1,1319,608,1,1319,1953,0,1,66,1
1,1092,525,1,525,1973,567,1,144,1
2,1625,1625,1,1625,1965,0,1,0,1
1,1577,972,1,972,1939,605,0,0,1
1,882,0,1,882,1959,0,1,0,1
3,1865,992,0,992,2000,873,0,0,1
3,1500,1356,0,1500,2006,0,0,161,1
2,1536,768,0,768,2005,768,0,100,1
2,2320,0,1,1547,1948,720,0,120,1
1,1427,483,1,741,1915,686,1,0,1
2,1961,804,1,804,2001,1157,0,125,1
1,808,0,1,808,1945,0,1,0,0
